repository,degree_centrality,pagerank_score,hub_score,authority_score,id,stars,language,source_edge_count,target_edge_count,total_edge_count
IBM/mcp-context-forge,0.34793597304128054,0.0006352729139819305,0.0008417147872716288,0.0008417147872716299,IBM/mcp-context-forge,3633,python,1133,106,1239
roboflow/supervision,0.3633810727323786,0.0006349592516565694,0.0009791813095355144,0.0009791813095355135,roboflow/supervision,38253,python,227,1067,1294
srbhr/Resume-Matcher,0.36029205279415893,0.0006320089342153029,0.0009584320674934337,0.0009584320674934318,srbhr/Resume-Matcher,26856,typescript,159,1124,1283
lauragift21/awesome-learning-resources,0.34203875315922494,0.0006309374105568013,0.000757158484678519,0.0007571584846785179,lauragift21/awesome-learning-resources,5724,unknown,488,730,1218
ml-tooling/best-of-web-python,0.3257511934849761,0.000628452342582811,0.0007158692286543794,0.0007158692286543792,ml-tooling/best-of-web-python,2711,unknown,376,784,1160
Tencent/MMKV,0.3257511934849761,0.0006284273732304607,0.000696896663970866,0.0006968966639708679,Tencent/MMKV,18559,c++,933,227,1160
aws-samples/bedrock-chat,0.3426003931479921,0.0006265179088451347,0.0008053866701646755,0.0008053866701646757,aws-samples/bedrock-chat,1287,typescript,877,343,1220
natmlx/natml-unity,0.3215388935692221,0.0006257881221050821,0.0006531466065844056,0.0006531466065844063,natmlx/natml-unity,233,c#,314,831,1145
google-research-datasets/Objectron,0.34653187306936256,0.0006229386109646675,0.000936465452381561,0.0009364654523815612,google-research-datasets/Objectron,2328,jupyter notebook,640,594,1234
ComposioHQ/composio,0.34625105307497894,0.0006226479988505749,0.0008508152307041233,0.0008508152307041234,ComposioHQ/composio,27962,typescript,1186,47,1233
virgili0/Virgilio,0.35383319292333615,0.0006223040337764997,0.0009542726317941614,0.0009542726317941604,virgili0/Virgilio,14329,jupyter notebook,52,1208,1260
terrytangyuan/distributed-ml-patterns,0.34625105307497894,0.0006210229652300845,0.0009039123487798428,0.0009039123487798423,terrytangyuan/distributed-ml-patterns,501,python,104,1129,1233
wasp-lang/open-saas,0.3209772535804549,0.0006162841158275044,0.0005792952537544756,0.0005792952537544755,wasp-lang/open-saas,14306,typescript,42,1101,1143
milanm/DevOps-Roadmap,0.33108677337826453,0.0006160942048983245,0.0007570159522415724,0.0007570159522415742,milanm/DevOps-Roadmap,19306,unknown,386,793,1179
recommenders-team/recommenders,0.35327155293456897,0.000614568173587737,0.0009691493590143445,0.0009691493590143435,recommenders-team/recommenders,21663,python,224,1034,1258
pycaret/pycaret,0.34316203313675936,0.0006091127500113646,0.0009096289020824031,0.0009096289020824016,pycaret/pycaret,9754,python,283,939,1222
CodeChefVIT/resources,0.29626509407469814,0.0006090447035799365,0.00043567750941455924,0.00043567750941455967,CodeChefVIT/resources,1012,unknown,999,56,1055
Nyandwi/machine_learning_complete,0.34400449311991016,0.0006090398063349761,0.0009288835953503848,0.000928883595350385,Nyandwi/machine_learning_complete,5004,jupyter notebook,1055,170,1225
PipedreamHQ/pipedream,0.3274361134512777,0.0006077237713841037,0.000755191277893827,0.0007551912778938273,PipedreamHQ/pipedream,11288,javascript,1013,153,1166
apache/hamilton,0.3451277730974445,0.0006066133923352164,0.0009374349036914277,0.0009374349036914266,apache/hamilton,2464,jupyter notebook,918,311,1229
f/prompts.chat,0.33305251333894975,0.0006062608836204175,0.0007671094164517145,0.0007671094164517142,f/prompts.chat,161118,html,656,530,1186
sk3pp3r/cheat-sheet-pdf,0.32968267340634655,0.0006053660958776811,0.000802636434650054,0.0008026364346500548,sk3pp3r/cheat-sheet-pdf,2317,html,181,993,1174
authorizerdev/authorizer,0.30384723392305535,0.0006052457990714889,0.00046166140849496646,0.00046166140849496657,authorizerdev/authorizer,1953,go,818,264,1082
microsoft/tensorwatch,0.34456613310867734,0.000605153399742373,0.0009472127000390193,0.0009472127000390194,microsoft/tensorwatch,3468,jupyter notebook,395,832,1227
obss/sahi,0.34793597304128054,0.0006046638352908602,0.0009631730356673816,0.0009631730356673807,obss/sahi,5258,python,354,885,1239
rasbt/LLMs-from-scratch,0.34737433305251336,0.0006043813876901418,0.0009616225727553841,0.0009616225727553841,rasbt/LLMs-from-scratch,91705,jupyter notebook,233,1004,1237
jina-ai/serve,0.3308059533838809,0.0006031144723864536,0.0007725247465586296,0.0007725247465586287,jina-ai/serve,21875,python,517,661,1178
deepset-ai/haystack,0.34484695310306096,0.0006030408158162276,0.0009481451103079173,0.0009481451103079167,deepset-ai/haystack,25018,mdx,743,485,1228
ErdemOzgen/Data-Engineering-Roadmap,0.3243470935130581,0.0006026372688815125,0.0007270521545075569,0.0007270521545075564,ErdemOzgen/Data-Engineering-Roadmap,241,java,1093,62,1155
bregman-arie/devops-exercises,0.3240662735186745,0.0006016061254303615,0.0007505321690545836,0.0007505321690545861,bregman-arie/devops-exercises,82180,python,808,346,1154
SwanHubX/SwanLab,0.3426003931479921,0.0006002146137543911,0.0009406714094071181,0.0009406714094071184,SwanHubX/SwanLab,3885,python,982,238,1220
ray-project/ray,0.3426003931479921,0.0006000535177190945,0.0009416345937190457,0.0009416345937190459,ray-project/ray,42364,python,221,999,1220
nomadicmehul/CloudCaptain,0.3190115136197697,0.000598038916982816,0.0007388122492524221,0.0007388122492524241,nomadicmehul/CloudCaptain,169,typescript,332,804,1136
pytorch/ignite,0.3442853131142937,0.0005975801240332644,0.00095800197008757,0.0009580019700875693,pytorch/ignite,4752,python,257,969,1226
Moataz-Elmesmary/Data-Science-Roadmap,0.33642235327155295,0.0005960001250594374,0.000917262375845189,0.0009172623758451888,Moataz-Elmesmary/Data-Science-Roadmap,4240,unknown,1066,132,1198
Data-Centric-AI-Community/fg-data-profiling,0.3426003931479921,0.0005941208042320056,0.0009582770951747425,0.000958277095174742,Data-Centric-AI-Community/fg-data-profiling,13532,python,1164,56,1220
fastapi/full-stack-fastapi-template,0.3198539736029205,0.0005934386499021983,0.0007449341966978045,0.0007449341966978046,fastapi/full-stack-fastapi-template,42926,typescript,654,485,1139
ahkarami/Deep-Learning-in-Production,0.32940185341196293,0.0005930578017135752,0.0008508583950181826,0.000850858395018182,ahkarami/Deep-Learning-in-Production,4380,unknown,927,246,1173
Zleap-AI/SAG,0.33698399326032014,0.0005919674136503747,0.0009285385088174903,0.000928538508817489,Zleap-AI/SAG,1127,python,952,248,1200
tinyfish-io/agentql,0.3249087335018253,0.0005917544265342753,0.0008089431131188974,0.0008089431131188972,tinyfish-io/agentql,1333,shell,96,1061,1157
microsoft/computervision-recipes,0.33614153327716934,0.0005902186567988394,0.0009255675595703149,0.0009255675595703136,microsoft/computervision-recipes,9847,jupyter notebook,385,812,1197
AccumulateMore/CV,0.3367031732659365,0.0005892849604598661,0.0009358471294725994,0.000935847129472599,AccumulateMore/CV,20504,jupyter notebook,1185,14,1199
gitleaks/gitleaks,0.3016006739679865,0.0005880001302986207,0.0005054221822585321,0.0005054221822585324,gitleaks/gitleaks,26366,go,572,502,1074
aimhubio/aim,0.33445661331086773,0.0005878926372428058,0.000931103401486993,0.0009311034014869924,aimhubio/aim,6104,python,922,269,1191
liyupi/ai-guide,0.3333333333333333,0.0005866929342802482,0.0009063195972617763,0.0009063195972617762,liyupi/ai-guide,12727,javascript,452,735,1187
SylphAI-Inc/AdalFlow,0.3341757933164841,0.0005865960941835927,0.0009259170102304527,0.0009259170102304513,SylphAI-Inc/AdalFlow,4118,python,964,226,1190
edtechre/pybroker,0.3257511934849761,0.000585857366376614,0.0009020678180593972,0.0009020678180593952,edtechre/pybroker,3274,python,680,480,1160
bharathgs/Awesome-pytorch-list,0.3291210334175793,0.0005835803058509627,0.0009024678434476767,0.0009024678434476767,bharathgs/Awesome-pytorch-list,16486,unknown,825,347,1172
halfrost/Halfrost-Field,0.30946363381072733,0.0005830439160632347,0.0006458821972954116,0.000645882197295412,halfrost/Halfrost-Field,13229,go,546,556,1102
